GB_Date,Return_Rfree
2020/3/5,0.4924
2020/3/4,0.4918
2020/3/3,0.5171
2020/3/2,0.5152
2020/2/27,0.5327
2020/2/26,0.5332
2020/2/25,0.5405
2020/2/24,0.5299
2020/2/21,0.5318
2020/2/20,0.5384
2020/2/19,0.5435
2020/2/18,0.5553
2020/2/17,0.5733
2020/2/14,0.583
2020/2/13,0.584
2020/2/12,0.5891
2020/2/11,0.5859
2020/2/10,0.5809
2020/2/7,0.584
2020/2/6,0.5883
2020/2/5,0.5903
2020/2/4,0.5886
2020/2/3,0.5805
2020/1/31,0.5862
2020/1/30,0.5819
2020/1/20,0.6074
2020/1/17,0.6074
2020/1/16,0.6267
2020/1/15,0.6344
2020/1/14,0.6394
2020/1/13,0.6408
2020/1/10,0.6433
2020/1/9,0.6483
2020/1/8,0.6404
2020/1/7,0.6475
2020/1/6,0.6454
2020/1/3,0.6562
2020/1/2,0.6701
2019/12/31,0.672
